Name,Decimal,Hexadecimal,Character,Code point,Description
quot,34,22,,U+0022,quotation mark 
amp,38,26,&,U+0026,ampersand
apos,39,27,',U+0027,apostrophe 
lt,60,3C,<,U+003C,less-than sign
gt,62,3E,>,U+003E,greater-than sign
nbsp,160,A0, ,U+00A0,no-break space 
iexcl,161,A1,¡,U+00A1,inverted exclamation mark
cent,162,A2,¢,U+00A2,cent sign
pound,163,A3,£,U+00A3,pound sign
curren,164,A4,¤,U+00A4,currency sign
yen,165,A5,¥,U+00A5,yen sign 
brvbar,166,A6,¦,U+00A6,broken bar 
sect,167,A7,§,U+00A7,section sign
uml,168,A8,¨,U+00A8,diaeresis 
copy,169,A9,©,U+00A9,copyright symbol
ordf,170,AA,ª,U+00AA,feminine ordinal indicator
laquo,171,AB,«,U+00AB,left-pointing double angle quotation mark 
not,172,AC,¬,U+00AC,not sign
shy,173,AD, ,U+00AD,soft hyphen 
reg,174,AE,®,U+00AE,registered sign 
macr,175,AF,¯,U+00AF,macron 
deg,176,B0,°,U+00B0,degree symbol
plusmn,177,B1,±,U+00B1,plus-minus sign 
sup2,178,B2,²,U+00B2,superscript two 
sup3,179,B3,³,U+00B3,superscript three 
acute,180,B4,´,U+00B4,acute accent 
micro,181,B5,µ,U+00B5,micro sign
para,182,B6,¶,U+00B6,pilcrow sign 
middot,183,B7,·,U+00B7,middle dot 
cedil,184,B8,¸,U+00B8,cedilla 
sup1,185,B9,¹,U+00B9,superscript one 
ordm,186,BA,º,U+00BA,masculine ordinal indicator
raquo,187,BB,»,U+00BB,right-pointing double angle quotation mark 
frac14,188,BC,¼,U+00BC,vulgar fraction one quarter 
frac12,189,BD,½,U+00BD,vulgar fraction one half 
frac34,190,BE,¾,U+00BE,vulgar fraction three quarters
iquest,191,BF,¿,U+00BF,inverted question mark 
Agrave,192,C0,À,U+00C0,Latin capital letter A with grave accent 
Aacute,193,C1,Á,U+00C1,Latin capital letter A with acute accent
Acirc,194,C2,Â,U+00C2,Latin capital letter A with circumflex
Atilde,195,C3,Ã,U+00C3,Latin capital letter A with tilde
Auml,196,C4,Ä,U+00C4,Latin capital letter A with diaeresis
Aring,197,C5,Å,U+00C5,Latin capital letter A with ring above
AElig,198,C6,Æ,U+00C6,Latin capital letter AE 
Ccedil,199,C7,Ç,U+00C7,Latin capital letter C with cedilla
Egrave,200,C8,È,U+00C8,Latin capital letter E with grave accent
Eacute,201,C9,É,U+00C9,Latin capital letter E with acute accent
Ecirc,202,CA,Ê,U+00CA,Latin capital letter E with circumflex
